url,title,price,location,area_m2,rooms,floor,market_type,year_built,finish,heating,rent,ownership,available_from,advertiser_type,extras,price_per_m2,elevator,building_material,window_type,building_type,energy_certificate,security_features
https://www.otodom.pl/pl/oferta/rezerwacja-mieszkanie-po-remoncie-3-pokoje-50m2-ID4wrLz,Rezerwacja !!Mieszkanie po remoncie 3 pokoje 50m2,547 000 zł,"ul.Sowińskiego 33 osiedle Paderewskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",49.5,3,5/10,wtórny,brak informacji,do zamieszkania,miejskie,663 zł,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",11051,tak,wielka płyta,plastikowe,blok,W trakcie realizacji / Zwolnione,brak informacji
https://www.otodom.pl/pl/oferta/apartament-20-pietro-nowe-super-widok-hala-ID4rXQM,"Apartament 20 piętro, NOWE, super widok, hala.",499 000 zł,"ul. Zabrska, Śródmieście, Katowice, śląskie",36.13,2,> 10/26,pierwotny,2024,do wykończenia,miejskie,400 zł,pełna własność,brak informacji,prywatny,garaż/miejsce parkingowe,13811,tak,żelbet,aluminiowe,apartamentowiec,A+,monitoring / ochrona
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-48-m2-ulica-kubiny-ID4wzI1,MIESZKANIE 3 POKOJE 48 m2 ulica Kubiny,473 000 zł,"ul. ks. bp. Teodora Kubiny, Śródmieście, Katowice, śląskie",48.0,3,2/4,wtórny,1970,do zamieszkania,miejskie,800 zł,spółdzielcze wł. prawo do lokalu,2025-03-23,prywatny,piwnica,9854,nie,cegła,plastikowe,blok,A,brak informacji
https://www.otodom.pl/pl/oferta/ville-garden-mieszkanie-3-pok-b-34-ID4txN0,Ville Garden | mieszkanie 3-pok. | B.34,1 753 312 zł,"ul. Studencka, Ligota-Panewniki, Katowice, śląskie",99.62,3,4/4,pierwotny,2026,do wykończenia,inne,brak informacji,pełna własność,2026-06-30,deweloper,"balkon, garaż/miejsce parkingowe, pom. użytkowe",17600,tak,brak informacji,plastikowe,blok,brak informacji,teren zamknięty
https://www.otodom.pl/pl/oferta/prado-katowice-mieszkanie-4-pok-a3-0-01-ID4qfYy,Prado Katowice | mieszkanie 4-pok. | A3_0_01,938 790 zł,"ul. Wojska Polskiego, Piotrowice-Ochojec, Katowice, śląskie",76.95,4,parter/2,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-03-01,deweloper,"taras, ogródek, garaż/miejsce parkingowe, pom. użytkowe",12200,nie,brak informacji,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-75m2-loggia-bezposrednio-ID4unxz,4-pokojowe mieszkanie 75m2 + loggia Bezpośrednio,947 339 zł,"ul. ks. Piotra Skargi 1, Śródmieście, Katowice, śląskie",75.46,4,7/11,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-12-12,deweloper,garaż/miejsce parkingowe,12554,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/karliczka-mieszkanie-3-pok-a-9-02-ID4uwLy,Karliczka | mieszkanie 3-pok. | A.9.02,561 540 zł,"ul. Karliczka, Giszowiec, Katowice, śląskie",53.48,3,9/9,pierwotny,brak informacji,do wykończenia,brak informacji,brak informacji,pełna własność,brak informacji,deweloper,"balkon, garaż/miejsce parkingowe, pom. użytkowe",10500,tak,brak informacji,plastikowe,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/medykow-32-mieszkanie-2-pok-89-ID4nj2V,Medyków 32 | mieszkanie 2-pok. | 89,569 269 zł,"ul. Medyków, Ligota-Panewniki, Katowice, śląskie",41.86,2,4/4,pierwotny,2026,do wykończenia,miejskie,brak informacji,pełna własność,2026-11-15,deweloper,"balkon, garaż/miejsce parkingowe",13599,tak,brak informacji,plastikowe,apartamentowiec,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/dwupoziomowe-z-duzym-ogrodkiem-4-pokoje-ID4wyXG,Dwupoziomowe z Dużym Ogródkiem - 4 Pokoje,595 000 zł,"ul. Macieja Jargonia, Zarzecze, Katowice, śląskie",85.0,4,parter/1,pierwotny,2025,do wykończenia,gazowe,brak informacji,pełna własność,brak informacji,prywatny,"balkon, ogródek, taras, garaż/miejsce parkingowe, oddzielna kuchnia, pom. użytkowe",7000,nie,pustak,plastikowe,szeregowiec,A+,teren zamknięty monitoring / ochrona
https://www.otodom.pl/pl/oferta/mieszkanie-z-kominkiem-bezposrednio-ID4wj1q,"Mieszkanie z kominkiem, bezpośrednio!!",385 000 zł,"ul. Koszalińska, Ligota-Panewniki, Katowice, śląskie",47.0,2,3/4,wtórny,1963,do zamieszkania,brak informacji,250 zł,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",8191,nie,cegła,plastikowe,blok,B,brak informacji
https://www.otodom.pl/pl/oferta/kawalerka-na-rynku-w-katowicach-ID4wgAW,Kawalerka na RYNKU w Katowicach!,278 000 zł,"rynek Rynek, Śródmieście, Katowice, śląskie",26.5,1,4/4,wtórny,brak informacji,do wykończenia,miejskie,300 zł,pełna własność,2025-03-05,prywatny,brak informacji,10491,nie,brak informacji,brak informacji,kamienica,W trakcie realizacji / Zwolnione,monitoring / ochrona
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-86m2-balkon-bezposrednio-ID4ulIP,4-pokojowe mieszkanie 86m2 + balkon Bezpośrednio,brak informacji,"ul. gen. Władysława Sikorskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",86.9,4,7/8,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-02-15,deweloper,"balkon, garaż/miejsce parkingowe",brak informacji,tak,brak informacji,brak informacji,brak informacji,brak informacji,teren zamknięty
https://www.otodom.pl/pl/oferta/blisko-park-slaski-silesia-2-niezalezne-pokoje-ID4wFbp,"Blisko Park Śląski, Silesia, 2 niezależne pokoje",285 000 zł,"ul. Jabłoniowa, Dąb, Katowice, śląskie",38.5,2,1/4,wtórny,brak informacji,do wykończenia,miejskie,350 zł,udział,brak informacji,biuro nieruchomości,"piwnica, oddzielna kuchnia",7403,nie,brak informacji,drewniane,blok,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-72m2-balkon-ID4ul7b,3-pokojowe mieszkanie 72m2 + balkon,brak informacji,"ul. Ceglana, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie",72.14,3,1/7,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-02-15,deweloper,"balkon, garaż/miejsce parkingowe",brak informacji,tak,brak informacji,brak informacji,brak informacji,brak informacji,teren zamknięty
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-ogrodek-ID4u902,3-pokojowe mieszkanie 58m2 + ogródek,622 205 zł,"ul. Józefowska 23, Wełnowiec-Józefowiec, Katowice, śląskie",58.15,3,parter/10,pierwotny,2027,do wykończenia,miejskie,brak informacji,pełna własność,2027-03-30,deweloper,"ogródek, garaż/miejsce parkingowe",10700,tak,brak informacji,brak informacji,brak informacji,brak informacji,teren zamknięty monitoring / ochrona
https://www.otodom.pl/pl/oferta/top-lokalizacja-na-inwestycje-przy-rynku-katowice-ID4wgA8,Top lokalizacja na inwestycje przy Rynku Katowice!,449 000 zł,"rynek Rynek, Śródmieście, Katowice, śląskie",45.0,2,3/4,wtórny,brak informacji,do wykończenia,miejskie,300 zł,pełna własność,2025-03-05,prywatny,brak informacji,9978,nie,brak informacji,plastikowe,kamienica,W trakcie realizacji / Zwolnione,monitoring / ochrona
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-3-pok-6-a31-ID4lBy9,Panorama 3 Stawy | mieszkanie 3-pok. | 6.A31,933 197 zł,"ul. gen. Kazimierza Pułaskiego 23, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",70.43,3,6/8,pierwotny,2026,do wykończenia,brak informacji,brak informacji,pełna własność,2026-12-30,deweloper,"balkon, garaż/miejsce parkingowe",13250,tak,brak informacji,plastikowe,blok,brak informacji,monitoring / ochrona
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4wFb0,1-pokojowe mieszkanie 29m2 + balkon,brak informacji,"ul. Bytkowska, Wełnowiec-Józefowiec, Katowice, śląskie",29.2,1,4/5,pierwotny,2025,do wykończenia,brak informacji,brak informacji,pełna własność,2025-03-15,deweloper,"balkon, garaż/miejsce parkingowe",brak informacji,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/blok-z-2011r-recepcja-ochrona-silownia-klima-ID4wFdl,"Blok z 2011r-recepcja,ochrona,siłownia,klima",949 999 zł,"Dąb, Katowice, śląskie",119.0,4,7/10,wtórny,2011,do zamieszkania,ID: 66651943,brak informacji,pełna własność,2025-04-15,prywatny,"balkon, garaż/miejsce parkingowe, piwnica, oddzielna kuchnia, pom. użytkowe",7983,tak,beton,aluminiowe,blok,brak informacji,teren zamknięty monitoring / ochrona
